,species,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,eventDate,year,basisOfRecord,license,issue
7912,Pinus ponderosa,45.112275,-117.568578,6,2024-08-13T16:46:06,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7913,Pinus ponderosa,45.09608,-117.560125,7,2024-08-13T16:31:45,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7914,Pinus ponderosa,45.0854,-117.549208,6,2024-08-13T16:26:16,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7915,Pinus ponderosa,44.916037,-116.933368,9,2024-02-27T13:25:05,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7916,Pinus ponderosa,45.89213,-117.492757,8,2024-08-19T17:10:50,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7917,Pinus ponderosa,45.123277,-117.574838,8,2024-08-13T16:49:43,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7918,Pinus ponderosa,45.181405,-118.388533,6,2024-08-15T19:17:19,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7919,Thuja plicata,45.53036,-122.220526,NA,2024-08-16T09:36:21,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7920,Pinus ponderosa,45.94534,-117.451767,4,2024-08-19T19:15:45,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7921,Pinus ponderosa,45.88279,-117.493253,6,2024-08-19T17:06:51,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7922,Pinus ponderosa,45.117307,-117.665623,4,2024-08-13T17:44:29,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7923,Pinus ponderosa,45.13783,-117.55971,9,2024-08-13T17:20:40,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7924,Pinus ponderosa,45.132782,-118.365895,7,2024-08-15T19:11:23,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7925,Pinus ponderosa,45.097323,-118.372812,13,2024-08-15T17:36:46,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7926,Pinus ponderosa,45.120993,-117.685572,4,2024-08-13T17:47:24,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7927,Pinus ponderosa,45.913372,-117.462605,8,2024-08-19T18:57:47,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7928,Pinus ponderosa,45.214063,-117.744315,2,2024-08-17T12:24:53,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7929,Pinus ponderosa,45.334738,-117.090503,2,2024-04-23T15:36:41,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7930,Pinus ponderosa,45.93206,-117.44627,9,2024-08-19T19:10:08,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7931,Pinus ponderosa,45.142617,-117.5688,7,2024-08-13T17:25:14,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7932,Pinus ponderosa,45.933073,-117.45542,7,2024-08-19T19:09:44,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7933,Pinus ponderosa,45.098783,-118.394163,5,2024-08-15T13:32:50,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7934,Pinus ponderosa,45.092827,-118.368758,8,2024-08-15T13:46:09,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7935,Pinus ponderosa,45.071992,-118.317213,5,2024-08-15T17:26:18,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7936,Pinus ponderosa,45.116013,-117.667593,2,2024-08-13T17:44:41,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7937,Pinus ponderosa,45.056882,-118.285355,7,2024-08-15T14:03:23,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7938,Pinus ponderosa,45.15857,-118.379877,8,2024-08-15T13:23:23,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7939,Pinus ponderosa,45.111743,-117.56631,5,2024-08-13T16:44:48,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7940,Pinus ponderosa,45.394678,-117.020363,2,2024-04-23T15:49:44,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7941,Pinus ponderosa,45.119207,-117.572722,9,2024-08-13T16:48:49,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7942,Pinus ponderosa,45.90827,-117.470613,8,2024-08-19T18:55:48,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7943,Pinus ponderosa,45.145097,-117.577457,9,2024-08-13T17:27:14,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7944,Pinus ponderosa,45.112122,-117.566072,6,2024-08-13T16:45:05,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7945,Pinus ponderosa,45.11231,-117.573233,6,2024-08-13T16:42:43,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7946,Pinus ponderosa,45.08585,-117.545433,4,2024-08-13T16:25:12,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7947,Pinus ponderosa,45.238183,-118.395373,3,2024-08-15T13:15:25,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7948,Pinus ponderosa,45.088055,-118.408118,8,2024-08-15T13:37:17,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7949,Pinus ponderosa,45.115802,-117.56914,9,2024-08-13T16:47:36,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7950,Pinus ponderosa,45.119465,-117.657942,4,2024-08-13T17:42:59,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7951,Pinus ponderosa,45.112887,-117.567993,6,2024-08-13T16:46:22,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7952,Thuja plicata,44.056208,-123.082336,4,2024-08-11T11:29:11,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7953,Pinus ponderosa,45.113647,-117.671373,7,2024-08-13T17:45:04,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7954,Pinus ponderosa,45.0951,-117.558357,8,2024-08-13T16:31:10,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7955,Quercus garryana,42.615671,-122.81114,8,2024-07-15T14:52:06,2024,HUMAN_OBSERVATION,CC_BY_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7956,Pinus ponderosa,45.369998,-117.051345,2,2024-04-23T15:44:10,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7957,Pinus ponderosa,45.92095,-117.441905,2,2024-08-19T19:01:37,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7958,Rubus ursinus,44.554428,-123.278153,5,2024-08-13T18:43,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7959,Pinus ponderosa,45.117667,-117.570182,9,2024-08-13T16:48:07,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7960,Pinus ponderosa,45.879652,-117.495298,5,2024-08-19T17:05:37,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7961,Pinus ponderosa,45.895735,-117.491325,4,2024-08-19T17:12:12,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7962,Pinus ponderosa,45.274185,-118.345,8,2024-08-15T19:32:52,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7963,Pinus ponderosa,45.143092,-117.59073,2,2024-08-13T17:30:06,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7964,Pinus ponderosa,45.892972,-117.493303,6,2024-08-19T17:11:05,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7965,Pinus ponderosa,45.21367,-117.746038,5,2024-08-17T12:41:50,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7966,Pinus ponderosa,45.1911,-118.390565,8,2024-08-15T19:18:26,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7967,Pinus ponderosa,45.08442,-117.547367,9,2024-08-13T16:25:39,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7968,Pinus ponderosa,45.070993,-118.316102,4,2024-08-15T17:25:15,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7969,Pinus ponderosa,45.18569,-118.386673,7,2024-08-15T19:17:44,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7970,Pinus ponderosa,45.141145,-117.559213,6,2024-08-13T17:23:04,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7971,Pinus ponderosa,45.093278,-117.556973,7,2024-08-13T16:30:45,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7972,Thuja plicata,45.536964,-122.217147,NA,2024-08-16T08:44:59,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7973,Quercus garryana,45.4006,-122.697403,40,2024-08-20T08:47:33,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7974,Pinus ponderosa,45.109845,-118.375872,7,2024-08-15T13:30:34,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7975,Pinus ponderosa,45.08782,-117.555433,9,2024-08-13T16:28:06,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7976,Pinus ponderosa,45.117017,-117.663883,4,2024-08-13T17:44:16,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7977,Pinus ponderosa,45.071248,-118.31597,4,2024-08-15T13:55,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7978,Thuja plicata,45.533011,-122.218482,NA,2024-08-16T09:22:50,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7979,Rubus ursinus,43.307014,-124.141632,28,2024-08-15T10:13:50,2024,HUMAN_OBSERVATION,CC0_1_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7980,Quercus garryana,43.765656,-122.634766,6,2024-08-14T15:46:20,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7981,Pinus ponderosa,45.092859,-118.361575,44,2024-08-15T17:34:54,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7982,Pinus ponderosa,45.09043,-117.557538,7,2024-08-13T16:29,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7983,Pinus ponderosa,45.08573,-117.541248,5,2024-08-13T16:24:23,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7984,Pinus ponderosa,45.935673,-117.444093,8,2024-08-19T19:12:24,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7985,Pinus ponderosa,45.902167,-117.476783,6,2024-08-19T18:52:44,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7986,Quercus garryana,44.553925,-123.270094,4,2024-08-14T17:26,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7987,Pinus ponderosa,45.121378,-117.643897,9,2024-08-13T17:41:05,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7988,Pinus ponderosa,45.11442,-117.567987,7,2024-08-13T16:47:03,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7989,Pinus ponderosa,45.212978,-117.748157,2,2024-08-17T12:42:19,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7990,Pinus ponderosa,45.335492,-117.08264,4,2024-04-23T15:36:59,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7991,Pinus ponderosa,45.364548,-117.054987,2,2024-04-23T15:43:19,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7992,Pinus ponderosa,45.087723,-117.554912,5,2024-08-13T16:27:53,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7993,Pinus ponderosa,45.448962,-116.985455,2,2024-04-23T16:01:33,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7994,Pinus ponderosa,45.884523,-117.492658,6,2024-08-19T17:09:15,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7995,Pinus ponderosa,45.215615,-117.744182,8,2024-08-17T12:41:25,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7996,Pinus ponderosa,45.941412,-117.451887,9,2024-08-19T19:15:08,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7997,Pinus ponderosa,45.120103,-117.656955,7,2024-08-13T17:42:41,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7998,Pinus ponderosa,45.108752,-117.57334,7,2024-08-13T16:40:46,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
7999,Pinus ponderosa,45.909038,-117.46223,7,2024-08-19T18:56:58,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8000,Pinus ponderosa,45.446628,-116.993913,2,2024-04-23T16:00:36,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8001,Pinus ponderosa,45.092433,-117.556403,6,2024-08-13T16:30:16,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8002,Pinus ponderosa,45.089078,-117.55783,3,2024-08-13T16:28:35,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8003,Pinus ponderosa,45.908058,-117.475868,9,2024-08-19T18:54:52,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8004,Pinus ponderosa,45.217633,-117.743933,3,2024-08-17T12:38:34,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8005,Pinus ponderosa,45.907247,-117.463408,2,2024-08-19T18:56:40,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8006,Thuja plicata,43.983072,-124.052593,5439,2024-08-09T09:48:38,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8007,Pinus ponderosa,45.213997,-117.745665,6,2024-08-17T12:41:39,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8008,Pinus ponderosa,45.11784,-117.678457,9,2024-08-13T17:46:03,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8009,Pinus ponderosa,45.144877,-117.573583,9,2024-08-13T17:26:26,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8010,Pinus ponderosa,45.120593,-117.68447,3,2024-08-13T17:47:02,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8011,Pinus ponderosa,45.143138,-117.58923,6,2024-08-13T17:29:45,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8012,Pinus ponderosa,45.111043,-117.570773,6,2024-08-13T16:43:27,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8013,Pinus ponderosa,45.123005,-117.692637,7,2024-08-13T17:48:27,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8014,Pinus ponderosa,45.344013,-117.066612,2,2024-04-23T15:38:56,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8015,Pinus ponderosa,45.10116,-118.389073,7,2024-08-15T13:32:19,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8016,Pinus ponderosa,45.061653,-118.276208,5,2024-08-15T14:06:16,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8017,Quercus garryana,45.687097,-121.875886,NA,2024-08-17T12:33:45,2024,HUMAN_OBSERVATION,CC_BY_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8018,Pinus ponderosa,45.118207,-117.661352,7,2024-08-13T17:43:46,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8019,Pinus ponderosa,45.131878,-117.58143,6,2024-08-13T17:06:12,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8020,Pinus ponderosa,45.111537,-117.566595,6,2024-08-13T16:44:37,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8021,Pinus ponderosa,45.342812,-117.070708,8,2024-04-23T15:38:30,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8022,Pinus ponderosa,45.392212,-117.025898,2,2024-04-23T15:48:48,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8023,Rubus ursinus,45.497631,-122.84068,NA,2024-08-09T15:53:58,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
8024,Pinus ponderosa,45.200415,-118.154068,9,2024-08-06T07:36:38,2024,HUMAN_OBSERVATION,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
